Date,City,Temperature,Humidity,AirQualityIndex,NoiseLevel_dB,HumanActivityLevel,NearbyGreenSpaces,RoadDensity,WildlifeSpecies,SpeciesCategory,NumberOfSightings,TimeOfDay,WeatherCondition,DayOfWeek,Season,ProximityToWaterSource,UrbanDevelopmentIndex,PublicAwarenessLevel,ConservationEffortsLevel,GarbageManagementScore,LightPollutionLevel,TypeOfSighting,PhotographicEvidence,CitizenReportReliability,SightingDuration_Min,InteractionType,AnimalBehavior,IsEndangeredSpecies,DistanceFromCityCenter_km,ResidentialAreaType,NoiseToleranceLevel,VegetationDensity,ObservationMethod
11-02-16,Karachi,26.2,86.6,156,47,4,1,2,Fox,Mammal,7,Evening,Cloudy,Tue,Spring,7,0.33,0.14,0.65,0.06,0.72,Seen,Yes,0.94,1,Fed,Fleeing,Yes,49.6,Urban,0.62,0.65,App
04-10-23,Lahore,15.2,21.6,268,98,9,3,2,Porcupine,Mammal,7,Morning,Cloudy,Sat,Autumn,3,0.59,0.05,0.61,0.17,0.07,Heard,No,0.95,58,Fed,Curious,Yes,40.4,Urban,0.3,0.19,In-person
18-11-16,Islamabad,35.5,50.8,248,83,7,2,0,Wild Cat,Mammal,4,Afternoon,Cloudy,Sun,Summer,1,0.66,0.31,0.52,0.55,0.18,Seen,Yes,0.97,46.7,Chased,Calm,No,47,Semi-urban,0.89,0.64,Website
02-06-25,Karachi,42.7,26.2,264,99,8,4,1,Hedgehog,Mammal,5,Morning,Foggy,Mon,Summer,7,0.36,0.28,0.54,0.14,0.8,Fed,No,0.17,59.2,Fed,Aggressive,Yes,38.6,Urban,0.2,0.1,Hotline
19-09-15,Islamabad,39.5,69.5,212,74,0,2,4,Owl,Bird,7,Afternoon,Sunny,Thu,Summer,9,0.12,0.86,0.62,0.33,0.06,Chased,No,0.38,20.2,Heard,Curious,No,36.5,Urban,0.64,0.9,Website
13-08-26,Karachi,29.2,28.4,255,42,0,4,9,Monkey,Mammal,7,Afternoon,Cloudy,Thu,Autumn,6,0.04,0.71,0.11,0.44,0.2,Photographed,Yes,0.91,29,Photographed,Calm,Yes,28.2,Urban,0.7,0.23,Website
08-04-11,Peshawar,33.1,57.8,78,75,6,2,2,Wild Cat,Mammal,6,Morning,Cloudy,Fri,Summer,1,0.62,0.3,0.11,0.46,0.22,Heard,No,0.47,53.1,Chased,Fleeing,Yes,16.3,Semi-urban,0.12,0.42,Hotline
12-10-26,Lahore,42.2,39,76,96,3,4,8,Wild Cat,Mammal,3,Night,Foggy,Wed,Spring,6,0.16,0.53,0.48,0.69,0.27,Heard,No,0.32,10.9,Seen,Calm,Yes,11,Urban,0.56,0.46,Hotline
16-10-14,Peshawar,16.9,37.8,61,78,1,2,0,Owl,Bird,5,Night,Foggy,Fri,Autumn,0,1,0.27,0.98,0.41,0.03,Fed,No,0.41,38.4,Fed,Calm,Yes,34.1,Rural,0.53,0.5,Website
24-01-17,Islamabad,31.6,61.5,232,50,7,2,0,Owl,Bird,6,Evening,Foggy,Tue,Autumn,7,0.47,0.98,0.4,0.82,0.8,Seen,No,0.24,31,Fed,Aggressive,Yes,34.8,Rural,0.86,0.39,Website
28-01-25,Quetta,21.6,69.8,196,59,6,3,8,Porcupine,Mammal,1,Afternoon,Rainy,Sun,Spring,7,0.39,0.94,0.14,0.34,0.11,Fed,Yes,0.93,52.8,Fed,Curious,No,13,Urban,0.66,0.84,App
12-06-11,Islamabad,31.7,57.1,51,40,4,4,6,Wild Cat,Mammal,9,Afternoon,Sunny,Tue,Winter,8,0.35,0.73,0.9,0.89,0.78,Seen,No,0.68,6,Seen,Feeding,Yes,8.2,Urban,0.9,0.65,In-person
04-06-11,Quetta,15.3,27.1,148,64,1,1,1,Monkey,Mammal,6,Evening,Foggy,Tue,Spring,2,0.65,0.22,0.71,0.24,0.33,Photographed,No,0.77,39.3,Photographed,Fleeing,No,42.5,Urban,0.66,0.61,Hotline
02-11-15,Lahore,17.8,45.7,168,61,5,4,2,Owl,Bird,6,Evening,Sunny,Fri,Spring,7,0.63,0.79,0.5,0.58,0.49,Fed,Yes,0.28,43.6,Seen,Calm,Yes,14.1,Urban,0.02,0.68,App
